"seriesDescription","seriesCount","geoAreaCode","geoAreaName","timePeriodStart","value","Age","Location","Sex"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"1.11125","12+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.95375","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"2.27083","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"1.01917","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.41958","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.31792","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"0.07333","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","56","Belgium",2013,"3.19583","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","64","Bhutan",2007,"0.41667","ALLAGE","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","64","Bhutan",2007,"1.11125","ALLAGE","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","64","Bhutan",2015,"0.97208","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","64","Bhutan",2015,"2.56958","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","76","Brazil",2009,"0.83333","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","76","Brazil",2009,"2.70833","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","100","Bulgaria",2002,"0.55542","20-74","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","100","Bulgaria",2002,"1.73625","20-74","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","100","Bulgaria",2010,"0.34708","20-74","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","100","Bulgaria",2010,"1.04167","20-74","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.70708","10+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.00208","10+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.66042","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.01583","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.40333","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.93","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"4.715","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.49958","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.95708","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.94917","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.66958","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.39833","10+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.1","10+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.46833","15-24","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.70208","15-24","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.54917","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.56417","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.8525","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.8575","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"3.85208","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.00667","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.78958","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.2625","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.47167","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.59083","65+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"3.15625","10+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.87167","10+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"2.64792","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.40292","15-24","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"3.39125","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.85333","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.79292","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.86083","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"3.14542","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.99708","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.00042","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.66958","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.97042","55-64","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.99833","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.16667","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"1.5975","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","120","Cameroon",2014,"0.96792","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2005,"2.5","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2005,"1.25","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2010,"2.91667","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2010,"1.66667","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"2.5","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","45-54","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"5.41667","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"2.08333","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","55-64","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","55-64","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.83333","45-54","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","65+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","45-54","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","45-54","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","55-64","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","55-64","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","65+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"6.25","25-44","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"2.91667","25-44","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"2.5","15+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","15+","RURAL","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"2.5","25-44","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","45-54","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.83333","55-64","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","65+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","65+","RURAL","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"0.41667","15-24","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"2.08333","15+","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"1.25","15+","URBAN","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","124","Canada",2016,"5.41667","25-44","URBAN","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"2.30792","45-54","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"0.23833","15-24","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"3.42625","15+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"0.94708","25-44","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"0.58333","15+","ALLAREA","MALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"5.31208","25-44","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"2.67958","15-24","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"1.3725","65+","ALLAREA","FEMALE"
"Proportion of time spent on unpaid care work, by sex, age and location (%)","2026","152","Chile",2008,"0.3925","45-54","ALLAREA","MALE"
